Ticker,close,date,high,low,month,open,volume,sector
TATAMOTORS,719.55,2023-12-26 05:30:00,727.5,716.6,2023-12,727.4,7229143,AUTOMOBILES
TATAMOTORS,740.9,2023-12-27 05:30:00,741.85,725.15,2023-12,728.0,15052800,AUTOMOBILES
TATAMOTORS,753.9,2023-12-28 05:30:00,757.95,739.05,2023-12,742.65,14906199,AUTOMOBILES
TATAMOTORS,779.95,2023-12-29 05:30:00,802.9,754.0,2023-12,755.0,41170191,AUTOMOBILES
TATAMOTORS,790.6,2024-01-01 05:30:00,798.7,781.05,2024-01,785.0,12570717,AUTOMOBILES
TATAMOTORS,784.4,2024-01-02 05:30:00,804.0,779.0,2024-01,800.5,13791090,AUTOMOBILES
TATAMOTORS,781.45,2024-01-03 05:30:00,790.0,776.25,2024-01,786.05,8559060,AUTOMOBILES
TATAMOTORS,795.75,2024-01-04 05:30:00,801.8,791.3,2024-01,798.0,14298444,AUTOMOBILES
TATAMOTORS,790.95,2024-01-05 05:30:00,805.9,787.1,2024-01,799.0,11091198,AUTOMOBILES
TATAMOTORS,789.1,2024-01-08 05:30:00,800.35,787.5,2024-01,798.4,7668471,AUTOMOBILES
TATAMOTORS,799.8,2024-01-09 05:30:00,809.2,793.15,2024-01,799.95,12872757,AUTOMOBILES
TATAMOTORS,808.45,2024-01-10 05:30:00,811.0,792.65,2024-01,800.0,9980044,AUTOMOBILES
TATAMOTORS,815.65,2024-01-11 05:30:00,817.5,808.45,2024-01,813.5,11075167,AUTOMOBILES
TATAMOTORS,816.45,2024-01-12 05:30:00,818.55,809.15,2024-01,818.15,7664094,AUTOMOBILES
TATAMOTORS,812.45,2024-01-15 05:30:00,820.4,810.3,2024-01,820.0,4835856,AUTOMOBILES
TATAMOTORS,818.85,2024-01-16 05:30:00,827.0,812.45,2024-01,812.45,10159066,AUTOMOBILES
TATAMOTORS,805.55,2024-01-17 05:30:00,813.7,804.0,2024-01,811.0,7895439,AUTOMOBILES
TATAMOTORS,819.05,2024-01-18 05:30:00,822.95,797.0,2024-01,807.0,11500495,AUTOMOBILES
TATAMOTORS,823.55,2024-01-19 05:30:00,826.0,819.5,2024-01,823.85,5706888,AUTOMOBILES
TATAMOTORS,818.9,2024-01-20 05:30:00,827.0,817.05,2024-01,826.0,2837388,AUTOMOBILES
TATAMOTORS,800.45,2024-01-23 05:30:00,827.6,796.3,2024-01,824.9,9436209,AUTOMOBILES
TATAMOTORS,810.9,2024-01-24 05:30:00,812.0,788.5,2024-01,802.4,7217542,AUTOMOBILES
TATAMOTORS,811.85,2024-01-25 05:30:00,814.15,800.3,2024-01,814.0,10109720,AUTOMOBILES
